Тип документа,Адрес,Район,Номер распоряжения,Дата распоряжения,"Площадь, га",Идентификатор
4 этап (утверждение документации ППТ),"Квартал 7 района восточнее пр. Ю. Гагарина (ВЮГ), ограниченного ул. Типанова, пр. Космонавтов, ул. Орджоникидзе и пр. Ю. Гагарина",Московский,1236,2008-09-30,"97,1",59C6CA1B-D96D-4A04-BF22-75964F0567D0
4 этап (утверждение документации ППТ),"Изменения в проект планировки территории, ограниченной Московским пр., наб. Обводного кан., полосой отвода Балтийской линии Октябрьской железной дороги, Благодатной ул., в Адмиралтейском и Московском районах, утвержденный постановлением Правит",Московский,1085,2014-12-02,"18,1",7075E798-F0B3-43AA-AFE9-7732532B0606
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта регионального значения «1-й Предпортовый проезд от ул. Костюшко до ул. Галстяна»,Московский,1133,2021-12-29,"6,8",F73BE999-9F98-4804-ABEC-774FA6EA6632
4 этап (утверждение документации ППТ),"Г. Пушкин, террритория, ограниченная ул. Малой, Леонтьевской, Московской ул. И Оранжерейной ул.",Пушкинский,122,2007-02-06,"4,5",F1157867-183C-468D-9EE3-7790FE15468F
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта регионального значения «Южная широтная магистраль. 1 Этап. Участок от перспективной Южно-Волхонской дороги до пересечения шоссе Подбельского с Сетевой ул»,Пушкинский,898,2021-11-22,"169,2",6029BF9E-F234-4D0B-B3EA-77D68A5A205F
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Лобачика, Вокзальной ул., Речной ул., Александровским шоссе, в границах муниципального образования поселок Белоостров, утвержденный постановлением Правительства Санкт-Петербурга от 17.05.2011 № 605",Курортный,675,2018-08-28,"2,4",5180128C-78BB-48D0-A067-7818C262F930
4 этап (утверждение документации ППТ),"Территория, ограниченная Лагерным шоссе, Понтонной ул., Понтонным проездом, береговой линией р.М.Ижорки, в Колпинском районе",Колпинский,324,2014-04-29,"29,4",026A73B0-F5D6-49A6-BD8A-78DCA7552F2F
4 этап (утверждение документации ППТ),"Территория, ограниченная проектируемой улицей, Волковским каналом, проектируемой улицей, полосой отвода Южного полукольца Октябрьской железной дороги, полосой отвода Витебского направления Октябрьской железной дороги",Фрунзенский,1066,2017-12-19,"35,7",4F9F05A2-98B9-4623-A0F9-7930ECC2C3A3
4 этап (утверждение документации ППТ),"Территория квартала 5А Севернее улицы Новоселов, ограниченной Кудровским проездом, проектируемой улицей №1, продолжением ул. Тельмана, пр. Большевиков, в Невском районе",Невский,410,2018-05-22,"12,7",09300C7C-0CA3-4CB3-B73C-798581E79383
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Коллонтай, Дальневсточным пр., ул. Еремеева, проектным продолжением Союзного пр.",Невский,140,2010-02-09,"47,4",FC484AB5-1D75-47E7-A2F2-79D2AC89D521
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта регионального значения «ул. Грибоедова от Львовской ул. До Фронтовой ул»,Петродворцовый,456,2022-05-27,3,78FC90E8-B9F5-4756-A081-79EC94293FCA
4 этап (утверждение документации ППТ),"Территория, ограниченная Боткинской ул., ул. Академика Лебедева, внутриквартальным проездом, Октябрьской железной дорогой",Калининский,749,2009-06-23,"2,8",5CFD78F4-DF13-4F9D-9A23-79ECB83C598A
4 этап (утверждение документации ППТ),"Квартал 8 района Рыбацкое, ограниченный Прибрежной ул., Рыбацким пр., наб. Р. Славянки и Шлиссельбургским пр.",Невский,691,2013-09-10,23,74E751DF-D3CB-462C-92BC-7A5DCA8D0CF8
4 этап (утверждение документации ППТ),"Квартал 1 Васильевского острова, ограниченный Новосмоленской наб., ул. Кораблестроителей, ул. Нахимова и Наличной ул.",Василеостровский,1006,2007-08-14,"71,1",810D9B43-462D-438B-9CA0-7A65450E067A
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Лизы Чайкиной, Большим пр. Петроградской стороны, Введенской ул., Б. Пушкарской ул.",Петроградский,857,2012-08-15,"1,9",4757FD41-914F-4F4B-9146-7A914FF4FDB1
4 этап (утверждение документации ППТ),Участок 1 севернее пересечения с 3-м Верхним пер. («Северная долина»),Выборгский,1431,2008-11-17,"303,4",30E31A6F-69E9-44E3-9423-7ACD6B0282EA
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Академика Константинова, ул. Академика Байкова, ул. Вавиловых, пр.Науки, в Калининском районе",Калининский,931,2021-11-30,"42,7",B8B4C2C4-3832-4E25-A83D-7B6B99D4E842
4 этап (утверждение документации ППТ),"Территория, ограниченная Репищевой ул., Эстонской ул., Новосельковской ул., ул. Щербакова",Приморский,190,2011-02-15,"5,5",9DD3543C-4353-418C-9948-7C60712D4E88
4 этап (утверждение документации ППТ),"Территория, ограниченная Дунайским пр., М. Балканской ул., ул. Олеко Дундича, Балканской ул. Во Фрунзенском районе СПб",Фрунзенский,144,2015-02-17,"11,8",17BC3DAD-C8F0-4B8B-B504-7CB96D444509
4 этап (утверждение документации ППТ),"Территория, ограниченная Южным полукольцом Октябрьской железной дороги, административной границей между Московским и Пушкинским районами, Варшавским направлением Октябрьской железной дороги",Московский,882,2015-10-06,"108,5",E56A3F62-3BA3-4F62-A47E-7CC530AF0C86
4 этап (утверждение документации ППТ),"Территория, ограниченная Крестовским пр., Спортивной ул., берегом р.Малая Невка, проектируемым проездом от р.Малая Невка до Крестовского пр.",Петроградский,1665,2010-12-07,"19,7",9D4E3644-9768-4188-9D4F-7CCEA1B5DD6A
4 этап (утверждение документации ППТ),"Территория, ограниченная перспективной пробивкой Суздальского ш., перспективной магистралью, береговой линией реки Каменки, перспективной магистралью вдоль ж/д",Приморский,1062,2014-11-25,"76,7",CF952799-876F-4982-A980-7CD26B26F542
4 этап (утверждение документации ППТ),"Территория, ограниченная Замшиной ул., пр. Маршала Блюхера, Пискаревским пр., Бестужевской ул., в Калининском районе, утвержденный постановлением Правительства Санкт-Петербурга от 13.02.2014 № 80",Калининский,1003,2018-12-25,"54,9",4A445964-BB76-44AA-AA5E-7D0D8CA3BE53
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта регионального значения Яхтенная ул. От Камышовой ул. До Планерной ул«,Приморский,410,2022-05-12,"4,2",E2C5BA85-EC44-4868-8E2A-7D2E4CCE9FD6
4 этап (утверждение документации ППТ),"Квартал 38А района Севернее Муринского ручья (СМР), ограниченная Тимуровской ул., ул. Ольги Форш, пр. Просвещения, ул. Демьяна Бедного",Калининский,1065,2013-12-25,"17,7",88A28C75-011F-42D4-B9DC-7D9296034070
4 этап (утверждение документации ППТ),"Территория квартала 18 Восточнее Витебской ЖД, ограниченная ул. Белы Куна, Софийской ул., ул. Турку, Пражской ул.",Фрунзенский,1004,2011-07-13,"79,9",41E039CF-43A2-42AC-AD0E-7DBB3116CD3D
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Хошимина, ул. Композиторов, пр. Луначарского, Выборгским шоссе",Выборгский,1499/1,2010-11-02,"18,6",537643BB-EF88-46B5-A548-7DC9B24781AF
4 этап (утверждение документации ППТ),"Квартала 23В района озеро Долгое, ограниченная ул. Шаврова, пр. Королева, перспективным проездом между кварталами 23Б и 23В",Приморский,1271,2011-08-17,"6,9",C242B496-6E18-41D3-855A-7DD78DF1E43C
4 этап (утверждение документации ППТ),"Территория, ограниченная Кантемировской ул., Лесным пр., ул. Александра Матросова, Выбогским направление железной дороги",Выборгский,141,2010-02-09,7,89AE294F-5BAA-43A3-9B6E-7DEB423ABE03
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта регионального значения«Транспортная развязка на пересечении Петрозаводского шоссе с Вознесенским шоссе »,Колпинский,415,2022-05-17,"22,8",25F6C88E-52A1-4801-B9EA-7E1401FEC9F6
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Латышских Стрелков, Зольной ул., береговой линией р. Оккервиль, ул. Ворошилова",Невский,1337,2011-09-13,41,3D93A59E-CEDD-43BD-BB9E-7E2CD0B63F99
4 этап (утверждение документации ППТ),"Территория производственной зоны Ржевка, ограниченная проектируемой магистралью, Ладожским направлением ж.д., проектируемой улицей №1, проектируемой улицей №8, правым берегом р.Охты, проектируемой ул. №9, ул. Химиков, шоссе Революции",Красногвардейский,518,2010-04-27,"483,2",543DD135-77C1-4DFE-B83A-7E7EE2BBC873
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта «Обводный кан. От ул. Степана Разина до Межевого канала»,Адмиралтейский,784,2019-11-12,"2,7",4F9662D4-90A3-4AE8-9FC7-7ECC79F960B2
4 этап (утверждение документации ППТ),"Территория кварталов 7,8 и 9 района Автово, ограниченная Автоводской ул., ул. Примакова, ул. Червонного Казачества и проездом вдоль сквера по пр. Стачек",Кировский,984,2011-07-13,"34,3",5717B798-3693-4293-83FA-805831BE55B4
4 этап (утверждение документации ППТ),"Территория, ограниченная Сердобольской ул., Студенческой ул., Белоостровской ул., Земледельческой ул. И проектируемым проездом от Земледельческой ул. До Сердоболькой ул., в Приморском районе, утвержденный постановлением Правительства Санкт-Петербурга от 04.08.2009 № 929, в части территории, ограниченной Сердобольской ул., Студенческой ул., Земледельческой ул., проектируемым проездом от Земледельческой ул. До Сердоболькой ул. В Приморском районе",Приморский,513,2018-06-21,"14,9",A7FEAFF0-5C27-4F44-A7D5-80DB50F39B8C
4 этап (утверждение документации ППТ),"Территория, ограниченная Литовской ул., Менделеевской ул., Чугунной ул.",Калининский,867,2010-06-29,"43,6",62A1CEB2-E57A-47F6-8CE9-80DF643C2126
4 этап (утверждение документации ППТ),"Территория, ограниченная Ольгинской дорогой, проектируемой улицей, 3-м Верхним пер., границей территориальной зоны «ТИ1-1», продолжением ул. Жени Егоровой, проектируемым проездом в пос.Парголово,",Выборгский,1074,2014-11-26,"43,2",41377BA3-BAE3-427E-9261-814EA7259BDA
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Генерала Симоняка, ул. Стойкости, пр. Маршала Жукова, пр. Ветеранов, в Кировском районе",Кировский,481,2009-04-28,"41,9",1F3B7753-4340-41D5-90FD-821F6ED29E6F
4 этап (утверждение документации ППТ),"Территория, ограниченная Полевой ул., Дубковским шоссе, Дубковским пер., Зарубинским проездом",Курортный,1144,2014-12-18,"2,3",50D2975B-3F25-4185-A4FC-82D167E0A9D7
4 этап (утверждение документации ППТ),"Территория, ограниченная Караваевской ул., Прибрежной ул., Шлиссельбургским пр., пер. Слепушкина",Невский,850,2012-08-15,"28,6",395C2DE0-CFCE-480D-B5A5-832154D7BE15
4 этап (утверждение документации ППТ),"Территория, ограниченная Крестовским пр., Рюхиной ул., Морским пр., Спортивной ул., утвержденный постановлением Правительства Санкт-Петербурга от 27.11.2012 № 1244",Петроградский,287,2019-05-07,11,F902D871-0464-47F6-BBB4-83260EAA9E0C
4 этап (утверждение документации ППТ),"Красноборская сторона с границами проектирования: Кубинская ул., Дунайский пр., 5-ый Предпрортовый проезд, Пулковское шоссе и ж/д линия",Московский,244,2006-03-07,"81,4",6D484525-D88F-4602-B1F5-834CC9C8DA81
4 этап (утверждение документации ППТ),"Квартал, ограниченный Херсонской ул., Исполкомской ул., Конной ул., и Перекупным пер.",Центральный,69,2009-01-20,"2,9",B8F811A3-2BBD-4C2F-9776-84C29123A5C4
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Турку, Будапештской ул., пр. Славы, Белградской ул.",Фрунзенский,690,2013-09-10,98,9453BC5C-F809-4FAE-93D0-84CF290E6061
4 этап (утверждение документации ППТ),"Территория зоны влияния аэропорта «Пулково», ограниченной с северо-запада границей нежилой зоны «Предпортовая-3», с северо-востока границей нежилой зоны «Предпортовая-2», с востока Пулковским шоссе, с юга границей отвода аэропорта, в Московском районе",Московский,89,2022-02-09,"1126,5",BE2B4EA0-2238-4E0B-A2BE-84FD0AE52FC5
4 этап (утверждение документации ППТ),"Квартал, ограниченный пр. Энтузиастов,ул. Осипенко, пр. Косыгина и Индустриальным .пр",Красногвардейский,67,2009-01-20,"12,5",9451F4D3-97CE-40FB-8279-84FD7C423C6C
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Ломоносова, Саперной ул.,Павловским шоссе,Кедринской ул.",Пушкинский,855,2012-08-15,"28,9",5233B277-BCFF-48C2-9906-853B1ADFE3A3
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта «ул.Сперанского»,Петроградский,201,2020-04-13,"1,2",17C8A71B-54CF-4616-933C-85DD550EB686
4 этап (утверждение документации ППТ),Квартал 9 района Шувалово-Озерки,Выборгский,1214,2007-09-18,"18,3",F7970A81-95A9-4ED7-91C5-85EEF7D16420
4 этап (утверждение документации ППТ),"Территория, ограниченная Стародеревенской ул.,Мебельной ул.,Торфяной дорогой,Школьной ул.",Приморский,289,2009-03-17,"25,3",EF2D51D2-8127-4670-AE39-872CD4DB3F89
4 этап (утверждение документации ППТ),"Расположенная в створе Таллинской ул., ограниченная береговой линией реки Нева",Красногвардейский,752,2009-06-23,"2,2",CB02FD08-B3B2-451A-A440-87608CD4F613
4 этап (утверждение документации ППТ),"Территория, ограниченная Московским пр., Благодатной ул., Кузнецовской ул. И Варшавской ул.",Московский,865,2007-07-17,"17,3",900810DF-DE07-4801-B9D5-877D7E309D4B
4 этап (утверждение документации ППТ),"Территория, ограниченная пр. Ленина, ул. Коммуны, Финляндской ул., Советским бульваром",Колпинский,1497/1,2010-11-02,"4,4",EA1AB6FE-2FDD-4FA0-9F74-87AC6FC18044
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта «Путепроводная развязка на пересечении Пулковского шоссе с Дунайским проспектом»,Московский,1191,2016-12-20,"25,7",A7FDD51F-1347-45C5-BC0D-87B52FE0B03E
4 этап (утверждение документации ППТ),"Территория квартала 5 района Дачное, ограниченная Ленинским пр., пр. Народного Ополчения, Счастливой ул., бульв. Новаторов",Кировский,991,2011-07-13,"44,8",C89EA9E5-F455-4711-B715-890032D3D9C1
4 этап (утверждение документации ППТ),Территория кварталов 75А и 78А района Каменка,Приморский,1318,2007-10-09,"74,6",53FE7BCA-1E5C-4F89-B807-8A167F0C94BD
4 этап (утверждение документации ППТ),"Территория, ограниченная М. Карпатской ул., Дунайским пр., Карпатской ул., ул. Олеко Дундича, утвержденный постановлением Правительства СПб от 01.02.2011 №133",Фрунзенский,91,2022-02-09,"13,3",2D32267F-A588-4205-9010-8AB254C1C9B5
4 этап (утверждение документации ППТ),"Территория, ограниченная Ульяновской ул., ул.Первого Мая, границей базисного квартала 19321Б, полосой отвода ж.д., Ораниенбаумского направления, бульв.Красных Курсантов, Гостилицкой ул., ул.Первого Мая, Широкой ул.,проектир.продолж.Университетского пр., Чичеринской ул",Петродворцовый,323,2014-04-29,"165,4",29863E71-E827-4640-8582-8B141CA2FDDB
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта «Транспортная развязка автомобильной дороги Западный скоростной диаметр в районе Шкиперского протока»,Василеостровский,266,2019-04-25,"43,2",C7EC9591-69B3-4849-B0C9-8B26EA145609
4 этап (утверждение документации ППТ),"Территория, ограниченная Дальневосточным пр., ул.Дыбенко, Октябрьской наб., проектируемым проездом",Невский,1064,2014-11-25,"45,4",C32B5E1B-6675-4C19-95C5-8B6EDD69B5F1
4 этап (утверждение документации ППТ),"Территория, ограниченная ул.Маршала Новикова, проектным продолжением Шуваловского пр., Репищевой ул., Новосельковской ул.",Приморский,255,2014-04-10,"11,6",E280DBE1-AB8B-42D0-829F-8BA589574118
4 этап (утверждение документации ППТ),"Территория, ограниченная проектируемым проездом, Полевой Сабировской ул., Рубежной ул., проектируемым продолжением Рубежной ул., в Приморском районе",Приморский,104,2014-02-18,"13,4",735BE153-C382-497F-AAC0-8CD5822F2589
4 этап (утверждение документации ППТ),"Территория, ограниченная Приморским шоссе, ручьем, береговой линией Финского залива, условной линией в створе Круговой ул.",Курортный,135,2011-02-01,"12,6",EA6AEE25-E8B0-48EF-BE0D-8D21FEEC5207
4 этап (утверждение документации ППТ),"Территория, ограниченная внутриквартальным проездом, ул. Есенина и пр. М. Тореза",Выборгский,1111,2007-09-04,"2,7",6B2692A6-04CB-429D-B816-8D6BB7F5C77F
4 этап (утверждение документации ППТ),"Территория, ограниченная Фарворовской ул., ул.Бабушкина, ул. Полярников, ул. Седова",Невский,1521,2008-12-02,22,33E46D68-833A-4204-A1FD-8D755B411CD1
4 этап (утверждение документации ППТ),"Территория, ограниченная Прилукской ул., Лиговским пр., Расстанной ул., Воронежской ул.",Фрунзенский,515,2010-04-27,"4,6",F2E8E49D-F65D-4F0A-BFA2-8DDDC3D87C6C
4 этап (утверждение документации ППТ),"Территория, огграниченная ул. Чайковского, Моховой ул., ул. Пестеля, Гагаринской ул.",Центральный,1522,2009-12-22,"5,5",8A3E36D2-0DC3-4242-B1B0-8E0DD223BD06
4 этап (утверждение документации ППТ),"Г. Пушкин, территория, ограниченная улицами Парковая, Гусарская, Саперная и Красносельским ш.",Пушкинский,597,2006-05-16,"77,6",9AB3B7B6-70E5-4C26-A58D-8E351621C99D
4 этап (утверждение документации ППТ),Квартал 59А Северо-Приморской части,Приморский,1338,2005-09-06,"23,1",42A819FD-E743-45DF-A1DF-8E88D7022AFB
4 этап (утверждение документации ППТ),"Внесение изменений в документацию по планировке территории объекта «Автомобильная дорога А-118 »Кольцевая автомобильная дорога вокруг г. Санкт-Петербурга« (участок от Приозерского шоссе до автомобильной дороги »Россия«)», утвержденную распоряжением Федерального дорожного агентства от 22 июня 2017г. №1237-р, на км 109+010 - км 109+220 внешнего кольца КАД (ПК 847 - ПК 849)",Московский,2523-р,2020-08-14,"2,3",1363B290-4EC7-455B-89AC-8EF29D65C990
4 этап (утверждение документации ППТ),"Территория, ограниченная Суздальским пр., Светлановским пр., Тимуровской ул., ул. Демьяна Бедного",Калининский,610,2011-05-17,"26,8",C37C1457-AF03-4B83-B264-8F01DB8379E4
4 этап (утверждение документации ППТ),"Территория, ограниченная проектируемыми проездами, Дунайским пр. И Московским шоссе",Московский,962,2013-12-11,"116,1",A1B82742-AC61-4446-8E18-8FCE77ABB192
4 этап (утверждение документации ППТ),"Квартал 17Г района «Ладожский вокзал и промзона Большой и Малой Охты», ограниченный Уткиным пр., перспективной пробивкой пр. Энергетиков, перспективной пробивкой Гранитной ул.",Красногвардейский,764,2009-06-29,"2,8",0E451A9A-2BDE-4B05-A0A8-90738A6D6448
4 этап (утверждение документации ППТ),"Квартал 30 В нежилой зоны «Обухово», ограниченный Дунайским пр., Софийским пр., Складским проездом и Карпатской ул.",Фрунзенский,1501,2007-11-20,"11,3",23C7C55B-0C78-4FEE-A7C8-91D953FDE5B8
4 этап (утверждение документации ППТ),"Территория ограниченная пр. Космонавтов, Шекснинским пер., Витебским пр., Ковжинским пер., в Московском районе",Московский,787,2021-10-19,"7,7",D635983A-AE97-451A-8958-923176B8ABF1
4 этап (утверждение документации ППТ),"Квартала 27, ограниченная М. Митрофаньевской ул.,Московским пр., Детским пер., Парфеновской ул., в Московском районе",Московский,1023,2021-12-20,8,FC9312E2-08C6-4E7E-B19C-927760D124AD
4 этап (утверждение документации ППТ),"Территория, ограниченной пр. Энгельса, Новороссийской ул., Новосильцевским пер.",Выборгский,508,2010-04-27,1,B9EDFC0B-D188-4563-8DBB-94277E50DD52
4 этап (утверждение документации ППТ),"Территория северной части кв.1-2 н/з «Парнас», ограниченная 2-м, 5-м Верхними проездами и продолжением пр. Культуры",Выборгский,1409,2006-11-14,"2,4",67EB138C-8019-48DC-BB4F-942D50785268
4 этап (утверждение документации ППТ),"Территория, ограниченная Киевским шоссе, проектируемой улицей 3, проектируемой магистралью, проектируемой улицей 4, проектируемой улицей 3,административной границей с Ленинградской областью, в Пушкинском районе",Пушкинский,529,2021-07-23,"112,7",E855D0B1-DE3A-44F7-A095-943EC692A42D
4 этап (утверждение документации ППТ),"Квартал 7В района БКА, ограниченного Серебристым бульваром, аллеей Поликарпова, Коломяжским пр. И пр. Испытателей",Приморский,216,2008-02-26,"32,5",3249551C-5F0E-47CA-8C45-946683608114
4 этап (утверждение документации ППТ),"Территория, ограниченная пр. Косыгина, Белорусской ул., Ленской ул., пр. Наставников",Красногвардейский,669,2012-06-26,"40,2",3F4C765A-4037-4607-9B9C-94C8B47BB836
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта «Реконструкция автодороги М-11 «Нарва» от ж.д. Станции Лигово до г. Красное Село в административных границах Санкт-Петербурга. I этап. Реконструкция Гореловского путепровода»,Красносельский,915,2019-12-13,"4,7",6C68ED96-A446-4829-9C53-961EBA924F30
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Ольги Берггольц, ул. Седова, полосой отвода железной дороги",Невский,831,2019-11-29,"24,7",B4F87426-70B0-4DD4-8C90-96FD40564270
4 этап (утверждение документации ППТ),"Квартала 41 района Южнее реки Волковки (ЮРВ), ограниченная ул. Ярослава Гашека, Бухарестской ул., ул. Олеко Дундича и Загребским бульваром",Фрунзенский,1263,2011-08-17,"22,6",FD8BF1A4-163B-4A59-81D0-972298F1AB49
4 этап (утверждение документации ППТ),"Территория, ограниченная Богатырским пр., Гаккелевской ул., продолжением Гаккелевской ул., Ситцевой ул., Стародеревенской ул., утвержденный постановлением Правительства Санкт-Петербурга 28.01.2014 № 43",Приморский,837,2019-11-29,"26,2",F3976A10-FCEB-420F-B71F-972E1A5F197A
4 этап (утверждение документации ППТ),"Территория, ограниченная Ириновским пр., Бокситогорской ул., Объездным шоссе, границей территориальной зоны «ТД1-2_2», береговой линией р.Охты",Красногвардейский,742,2011-06-07,"9,8",2A7D8F45-EF7A-4ED2-AD51-97600750ECF8
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта «Перспективное продолжение проспекта Ветеранов (от улицы Пионерстроя до проспекта Буденного)»,Красносельский,996,2018-12-25,"13,8",F48E87A3-092F-43C6-BCCF-9887F3F39FFE
4 этап (утверждение документации ППТ),Территория Невской губы Финского залива западнее Васильевского острова,Василеостровский,1430,2007-11-13,"420,8",06C1C2F2-A96D-463A-A86D-988B71394D11
4 этап (утверждение документации ППТ),"Территория, ограниченная наб. Обводного канала, Лиговским пр., Курской ул., Воронежской ул.",Фрунзенский,143,2015-02-17,6,0E02E42D-3190-4130-AAFF-989D0992EDD2
4 этап (утверждение документации ППТ),"Территория, ограниченная 1-ой Советской ул., Орловским пер., 2-ой Советской ул., Суворовским пр.",Центральный,1243,2012-11-27,"4,2",269C0620-320C-4F6D-89A3-98A6383E4689
4 этап (утверждение документации ППТ),"Территория, ограниченная пр. Маршала Блюхера, Лабораторным пр., Бестужевской ул., перспективным продолжением Бестужевской ул., Кушелевской дорогой",Калининский,1086,2014-12-02,"106,6",3CE8E8B3-7811-4CB4-8C7F-98FF55DB72B7
4 этап (утверждение документации ППТ),Территория юго-восточнее пересечения транспортного узла на пересечении проектируемой трассы Западного скоростного диаметра (ЗСД) и кольцевой автомобильной дороги (КАД) вокруг Санкт-Петербурга,Выборгский,1662,2010-12-07,"5,2",98741498-C96B-4069-8F69-9959D1D5A38E
4 этап (утверждение документации ППТ),"Квартал 25А района Шувалово-Озерки, ограниченного пр. Просвещения, ул. Руднева, Поэтическим бульваром и ул. Кустодиева",Выборгский,1006,2008-08-12,"19,7",7F96EE64-E161-4BFB-9097-995A94463C62
4 этап (утверждение документации ППТ),"Территория, ограниченная береговой линией Финского залива, административной границей муниципального образования г. Сестрорецка, границей функциональной зоны «Р3», береговой линией р. М.Сестры",Курортный,189,2011-02-15,"40,9",960BAA40-A57D-45CB-BA89-99AC598B582D
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта «Автомобильная догога А-118 «Кольцевая автомобильная дорога вокруг г. Санкт-Петербурга» (участок от автомобильной дороги »Россия« до автомобильной дороги «Нарва»)»,Невский,1485-р,2017-07-13,"380,7",93EA96D8-A07F-4040-B2CC-9A61C6192399
4 этап (утверждение документации ППТ),"Изменения в ППиПМ территории квартала 55 Северо-Приморской части, ограниченной Туристской ул., Богатырским пр., Яхтенной ул., ул. Оптиков, в Приморском районе, утвержденный постановлением Правительства Санкт-Петербурга от 09.10.2007 № 1319",Приморский,1242,2016-12-28,"46,5",7FAEF373-843A-45D3-A904-9A7376AD0195
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта регионального значения «Внутриквартальный проезд от Чичеринской ул. До земельного участка с кадастровым номером 78:40:0019344:3398»,Петродворцовый,87,2022-02-09,"0,7",5BCE2270-B30B-4EB5-B90C-9A87224DB9B6
4 этап (утверждение документации ППТ),"Квартал 11 района восточнее Витебской ж/д, ограниченный ул. Турку, Пражской ул., пр. Славы и бухарестской ул.",Фрунзенский,617,2007-05-29,44,E22952B1-B31E-47BF-A451-9AE601D700B7
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Аккуратова, Фермским шоссе, проектным продолжением Шаровой ул., проектным продолжением ул. 3-я линия 1-й половины",Приморский,1526,2009-12-22,"31,1",11F04483-1F9A-4678-B8DC-9AEA8D49AF40
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта «Автодорожный путепровод на участке Санкт-Петербург – Бусловская км 28 ПК 5»,Курортный,860,2017-10-10,"16,3",4679BF5D-AF20-4C55-BB52-9AF84CB6E6E9
4 этап (утверждение документации ППТ),"Терр. Квартала 7 Восточнее проспекта Юрия Гагарина, ограниченной ул. Типанова, пр. Космонавтов, ул. Орджоникидзе, пр. Юрия Гагарина, в Московском районе, утвержденный постановлением Правительства Санкт-Петербурга от 30.09.2008 № 1236",Московский,514,2018-06-21,"96,9",1929754A-8787-46AA-AB89-9B126245848C
4 этап (утверждение документации ППТ),"Территория, ограниченная проектными красными линиями ул. Пилотов, Взлетной ул.,проектными красными линиями Дачного пр., границей функциональной зоны И1, границей отвода подъездного железнодорожного пути ой",Московский,704,2008-06-10,"22,8",9CF04D84-5415-4AFA-95AA-9B3FF1EEEA23
4 этап (утверждение документации ППТ),"Стрельна,территория «Нойдорф», ограниченная границей с/х земель птицефабрики «Ломоносовская», границей территории Завода №61 Мин-ва обороны РФ, восточной красной линией проект. Продолжения пр.Энгельса и безымянным ручьем",Петродворцовый,63,2007-01-23,"86,1",EDB275F0-E47D-45DD-B154-9B8710F257DE
4 этап (утверждение документации ППТ),"Территория, ограниченная Садовой ул., ул. Анны Зеленовой, Партизанским пер., перспективной пробивкой Партизанского пер. И Колхозной ул.",Пушкинский,863,2010-06-29,"19,6",D968BB06-B1A8-40AD-A34D-9B88245592BC
4 этап (утверждение документации ППТ),"Территория для размещения линейного объекта регионального значения «Цимбалинский путепровод, ул.Белы Куна от Софийской ул. До Цимбалинского путепровода, ул.Цимбалина от ул. Седова до Цимбалинского путепровода»",Фрунзенский,43,2022-01-27,"27,1",86BC6FEA-3AF7-473E-B021-9BAF3182D253
4 этап (утверждение документации ППТ),"Территория, ограниченная Суздальским пр., пр. Энгельса, ул. Шостаковича, ул. Симонова",Выборгский,1757,2010-12-21,"31,6",BD1EAF70-F327-4E49-B275-9D3ACD30F247
4 этап (утверждение документации ППТ),"Квартал 28 района Озеро Долгое, ограниченный Комендантским пр., ул. Ильюшина, пр. Авиаконструкторов и Долгоозерной ул.",Приморский,894,2008-07-22,"48,6",59B10B9A-B1DD-44A5-9F20-9D630648FD94
4 этап (утверждение документации ППТ),"Территория квартала 7-10 Западнее Варшавской ЖД, ограниченная Бассейной ул., Новоизмайловским пр., пл. Конституции, Краснопутиловской ул., Кубинской ул.",Московский,994,2011-07-13,"58,3",EC81648A-1430-4246-B034-9D9DBF29C43F
4 этап (утверждение документации ППТ),"Территория, ограниченная границей Курортного района, проектируемым проездом №1, продолжением Школьной ул., местным проездом, Ленинградский ул., Краснофлотской ул., в пос. Песочном",Курортный,1023,2011-07-13,"74,6",0FEB5560-7CB3-43A9-A6F0-9E3C437206A9
