Тип документа,Адрес,Район,Номер распоряжения,Дата распоряжения,"Площадь, га",Идентификатор
4 этап (утверждение документации ППТ),"Территория, ограниченная Октябрьской наб., проектируемым проекздом, проездом № 1, административной границей Санкт-Петербурга",Невский,1196,2012-11-12,47,EC9DEBAC-9C24-4B75-83A5-1406493A4BAE
4 этап (утверждение документации ППТ),"Квартал 7 н/з «Парнас», ограниченный 5-м Верхним проездом, Домостроительной ул., 6-м Верхним пр., пр. Энгельса",Выборгский,1215,2007-09-18,"55,5",D4A1D9ED-79F2-4ED8-BA0A-1411435280E3
4 этап (утверждение документации ППТ),"Территория, ограниченная Железноводской ул., Наличной ул., пер. Каховского, пл. Балтийских Юнг",Василеостровский,854,2012-08-15,"10,3",4DED72B0-C2AB-42DB-8D70-14E60AB1D013
4 этап (утверждение документации ППТ),"Территория, ограниченная Таврической ул., Таврическим пер., проектируемыми проездами, Кавалерградской ул., Шпалерной ул.",Центральный,1756,2010-12-21,3,693E4FFE-1D3D-4074-9FEA-1512BB82B37F
4 этап (утверждение документации ППТ),"Территория, ограниченная Омской ул., Ланским шоссе, Студенческой ул., Сердобольской ул., Торжковской ул.",Приморский,1072,2017-12-19,"12,2",81548FEF-A49F-41F3-923B-159ADDC35439
4 этап (утверждение документации ППТ),"Территория, ограниченная Волхонским ш, Пулковским ш, Рехколовским ш., административной границей с Ленинградской областью",Пушкинский,855,2014-09-09,"75,3",7958FDB8-4FC4-436E-A78E-15D65BBE730F
4 этап (утверждение документации ППТ),"Территория, ограниченная расположенной по адресу : г. Санкт-Петербург, Петроградская наб., дом 2-4, лит. А, Пеньковская ул., дом 1, лит. А, дом 3, дом 3, лит. А, дом 5, дом 5, лит. А, дом 7, дом 9, участок 4, участок 5",Петроградский,256,2019-04-30,"7,7",FD40CF3C-A2DB-43AE-8AC9-15E6A023FBD5
4 этап (утверждение документации ППТ),"Квартал 8 района Рыбацкое, ограниченный Прибрежной ул., Рыбацким пр., наб. Р. Славянки и Шлиссельбургским пр.",Невский,166,2008-02-12,23,5868842F-F404-46DE-B9A2-16A0D3B99A16
4 этап (утверждение документации ППТ),"Территория, ограниченная 8-м Верхним пер., пр. Энгельса, 9-м Верхним пер., административной границей между Санкт-Петербургом и Ленинградской областью",Выборгский,701,2021-09-20,"41,3",8D7D3375-8D80-48BC-A203-16CAC6F348FC
4 этап (утверждение документации ППТ),Квартал 19А СУН,Невский,292,2007-03-20,"25,1",A364EF8D-6944-4211-B307-16D24EE41822
